Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7,Action,Number of Alerts,Sum of alert weights,Reward,Done,Timestamp
False,False,False,False,False,False,False,0,0,0,10,True,2023-12-16 15:52:48.526269
False,False,False,False,False,False,False,0,0,0,10,True,2023-12-16 15:53:03.542805
False,False,False,False,False,False,False,0,0,0,10,True,2023-12-16 15:53:18.553041
False,False,False,False,False,False,False,0,0,0,10,True,2023-12-16 15:53:33.559006
False,False,False,False,False,False,False,0,6,17,-68,False,2023-12-16 15:53:48.565510
True,False,False,False,False,False,False,1,6,14,-57,False,2023-12-16 15:54:03.580949
True,False,True,False,False,False,False,3,4,11,-46,False,2023-12-16 15:54:18.596543
True,True,True,False,False,False,False,2,3,6,-27,False,2023-12-16 15:54:33.616114
True,True,True,True,False,False,False,4,2,4,-20,False,2023-12-16 15:54:48.635027
False,True,True,True,False,False,False,1,3,9,-39,False,2023-12-16 15:55:03.655425
False,True,True,True,True,False,False,5,3,9,-40,False,2023-12-16 15:55:18.681960
False,False,True,True,True,False,False,2,4,14,-59,False,2023-12-16 15:55:33.703296
False,False,True,True,True,False,False,0,4,14,-59,False,2023-12-16 15:55:48.729361
False,True,True,True,True,False,False,2,3,9,-40,False,2023-12-16 15:56:03.751896
False,True,False,True,True,False,False,3,3,9,-39,False,2023-12-16 15:56:18.776145
False,True,False,True,False,False,False,5,4,10,-42,False,2023-12-16 15:56:33.813247
False,False,False,True,False,False,False,2,6,17,-69,False,2023-12-16 15:56:48.841857
False,False,False,True,True,False,False,5,5,16,-66,False,2023-12-16 15:57:03.873541
False,False,True,True,True,False,False,3,3,12,-51,False,2023-12-16 15:57:18.906992
False,False,True,True,False,False,False,5,4,14,-58,False,2023-12-16 15:57:33.957680
False,True,True,True,False,False,False,2,3,9,-39,False,2023-12-16 15:57:49.003255
False,True,True,False,False,False,False,4,4,11,-46,False,2023-12-16 15:58:04.054513
False,True,True,False,False,False,False,0,4,11,-46,False,2023-12-16 15:58:19.109394
True,True,True,False,False,False,False,1,3,6,-27,False,2023-12-16 15:58:34.160369
True,True,True,False,False,True,False,6,1,2,-12,False,2023-12-16 15:58:49.202521
True,False,True,False,False,True,False,2,2,7,-31,False,2023-12-16 15:59:04.250357
True,False,True,False,False,True,False,0,2,7,-31,False,2023-12-16 15:59:19.290826
True,False,True,False,False,True,True,7,2,7,-32,False,2023-12-16 15:59:34.336288
True,False,True,False,False,True,True,0,2,7,-32,False,2023-12-16 15:59:49.381879
False,False,True,False,False,True,True,1,3,12,-51,False,2023-12-16 16:00:04.424423
False,False,False,False,False,True,True,3,4,13,-54,False,2023-12-16 16:00:19.469523
False,False,False,False,False,True,True,0,4,13,-54,False,2023-12-16 16:00:34.521616
False,False,True,False,False,True,True,3,3,12,-51,False,2023-12-16 16:00:49.569628
False,False,True,True,False,True,True,4,2,10,-44,False,2023-12-16 16:01:04.649964
False,False,True,False,False,True,True,4,3,12,-51,False,2023-12-16 16:01:19.701664
False,False,True,False,False,True,True,0,3,12,-51,False,2023-12-16 16:01:34.747494
False,False,True,False,False,False,True,6,3,12,-50,False,2023-12-16 16:01:49.791183
False,False,True,False,True,False,True,5,3,12,-51,False,2023-12-16 16:02:04.838615
False,True,True,False,True,False,True,2,2,7,-32,False,2023-12-16 16:02:19.881582
False,True,True,True,True,False,True,4,1,5,-25,False,2023-12-16 16:02:34.934192
False,True,False,True,True,False,True,3,1,5,-24,False,2023-12-16 16:02:49.992859
False,False,False,True,True,False,True,2,2,10,-43,False,2023-12-16 16:03:05.042061
True,False,False,True,True,False,True,1,1,5,-24,False,2023-12-16 16:03:20.092419
True,False,False,True,True,False,False,7,4,11,-47,False,2023-12-16 16:03:35.136710
True,False,False,True,True,True,False,6,2,7,-32,False,2023-12-16 16:03:50.182700
True,False,False,True,True,True,False,0,1,5,-24,False,2023-12-16 16:04:05.223509
True,True,False,True,True,True,False,2,0,0,5,True,2023-12-16 16:04:20.276630
False,False,False,False,False,False,False,0,7,19,-76,False,2023-12-16 16:04:35.319755
False,False,False,False,False,True,False,6,5,15,-61,False,2023-12-16 16:04:50.381127
True,False,False,False,False,True,False,1,3,8,-34,False,2023-12-16 16:05:05.422179
True,True,False,False,False,True,False,2,2,3,-15,False,2023-12-16 16:05:20.461614
True,True,False,False,False,True,False,0,2,3,-15,False,2023-12-16 16:05:35.511616
True,False,False,False,False,True,False,2,3,8,-34,False,2023-12-16 16:05:50.555756
True,False,False,False,True,True,False,5,2,7,-31,False,2023-12-16 16:06:05.598484
True,False,False,False,True,True,True,7,2,7,-32,False,2023-12-16 16:06:20.637273
True,True,False,False,True,True,True,2,1,2,-13,False,2023-12-16 16:06:35.674804
True,True,False,True,True,True,True,4,0,0,4,True,2023-12-16 16:06:50.718959
False,False,False,False,False,True,False,6,4,13,-53,False,2023-12-16 16:07:05.771490
False,True,False,False,False,True,False,2,3,8,-34,False,2023-12-16 16:07:20.817315
True,True,False,False,False,True,False,1,2,3,-15,False,2023-12-16 16:07:35.866937
True,True,False,True,False,True,False,4,1,1,-8,False,2023-12-16 16:07:50.902991
True,True,False,True,True,True,False,5,0,0,5,True,2023-12-16 16:08:05.942588
False,False,False,False,False,False,False,0,7,19,-76,False,2023-12-16 16:08:20.987125
True,False,False,False,False,False,False,1,6,14,-57,False,2023-12-16 16:08:36.038974
True,True,False,False,False,False,False,2,4,7,-30,False,2023-12-16 16:08:51.097498
True,True,False,False,True,False,False,5,3,6,-27,False,2023-12-16 16:09:06.139825
True,True,False,False,False,False,False,5,4,7,-30,False,2023-12-16 16:09:21.180671
True,True,False,False,False,True,False,6,2,3,-15,False,2023-12-16 16:09:36.223350
True,True,False,True,False,True,False,4,1,1,-8,False,2023-12-16 16:09:51.290580
True,False,False,True,False,True,False,2,2,6,-27,False,2023-12-16 16:10:06.330602
True,False,False,False,False,True,False,4,3,8,-34,False,2023-12-16 16:10:21.375125
True,False,True,False,False,True,False,3,3,8,-35,False,2023-12-16 16:10:36.417985
True,True,True,False,False,True,False,2,2,3,-16,False,2023-12-16 16:10:51.456382
False,True,True,False,False,True,False,1,3,8,-35,False,2023-12-16 16:11:06.498384
False,True,True,True,False,True,False,4,2,6,-28,False,2023-12-16 16:11:21.535004
False,False,True,True,False,True,False,2,3,11,-47,False,2023-12-16 16:11:36.585516
False,False,True,False,False,True,False,4,4,13,-54,False,2023-12-16 16:11:51.631005
False,False,True,False,False,True,False,0,4,13,-54,False,2023-12-16 16:12:06.675124
False,False,False,False,False,True,False,3,4,13,-53,False,2023-12-16 16:12:21.724323
False,True,False,False,False,True,False,2,3,8,-34,False,2023-12-16 16:12:36.765810
False,True,False,True,False,True,False,4,2,6,-27,False,2023-12-16 16:12:51.807930
False,False,False,True,False,True,False,2,3,11,-46,False,2023-12-16 16:13:06.846461
True,False,False,True,False,True,False,1,2,6,-27,False,2023-12-16 16:13:21.906690
True,False,False,True,False,True,False,0,2,6,-27,False,2023-12-16 16:13:36.954164
True,False,False,True,False,True,True,7,2,6,-28,False,2023-12-16 16:13:51.999086
False,False,False,True,False,True,True,1,3,11,-47,False,2023-12-16 16:14:07.042604
False,True,False,True,False,True,True,2,2,6,-28,False,2023-12-16 16:14:22.095024
False,True,False,True,False,False,True,6,2,6,-27,False,2023-12-16 16:14:37.162610
False,True,False,True,False,True,True,6,2,6,-28,False,2023-12-16 16:14:52.210096
False,True,False,True,True,True,True,5,1,5,-25,False,2023-12-16 16:15:07.255899
True,True,False,True,True,True,True,1,0,0,4,True,2023-12-16 16:15:22.293217
False,False,False,False,False,False,False,0,7,19,-76,False,2023-12-16 16:15:37.335544
False,False,False,True,False,False,False,4,6,17,-69,False,2023-12-16 16:15:52.377685
False,False,False,True,False,False,True,7,3,11,-46,False,2023-12-16 16:16:07.415153
False,False,False,True,False,False,True,0,3,11,-46,False,2023-12-16 16:16:22.461119
False,False,False,True,True,False,True,5,2,10,-43,False,2023-12-16 16:16:37.501055
False,True,False,True,True,False,True,2,1,5,-24,False,2023-12-16 16:16:52.543194
False,True,False,True,True,False,False,7,3,9,-39,False,2023-12-16 16:17:07.585488
True,True,False,True,True,False,False,1,2,4,-20,False,2023-12-16 16:17:22.626639
True,True,False,True,True,True,False,6,0,0,5,True,2023-12-16 16:17:37.666080
False,False,False,False,False,False,False,0,5,15,-60,False,2023-12-16 16:17:52.707258
True,False,False,False,False,False,False,1,5,12,-49,False,2023-12-16 16:18:07.746129
True,False,False,False,False,False,True,7,3,8,-34,False,2023-12-16 16:18:22.789514
True,True,False,False,False,False,True,2,2,3,-15,False,2023-12-16 16:18:37.830913
True,True,False,False,True,False,True,5,1,2,-12,False,2023-12-16 16:18:52.871000
True,True,False,False,True,False,True,0,1,2,-12,False,2023-12-16 16:19:07.918206
False,True,False,False,True,False,True,1,2,7,-31,False,2023-12-16 16:19:22.967675
False,True,False,True,True,False,True,4,1,5,-24,False,2023-12-16 16:19:38.008545
False,True,False,True,True,False,True,0,1,5,-24,False,2023-12-16 16:19:53.046025
False,True,False,False,True,False,True,4,2,7,-31,False,2023-12-16 16:20:08.093041
False,True,False,False,False,False,True,5,3,8,-34,False,2023-12-16 16:20:23.141492
False,True,False,False,False,False,True,0,3,8,-34,False,2023-12-16 16:20:38.189465
False,True,True,False,False,False,True,3,3,8,-35,False,2023-12-16 16:20:53.224474
False,False,True,False,False,False,True,2,4,13,-54,False,2023-12-16 16:21:08.264373
True,False,True,False,False,False,True,1,2,7,-31,False,2023-12-16 16:21:23.305129
True,False,True,False,False,True,True,6,2,7,-32,False,2023-12-16 16:21:38.355430
True,False,True,False,False,True,False,7,2,7,-31,False,2023-12-16 16:21:53.393282
True,True,True,False,False,True,False,2,1,2,-12,False,2023-12-16 16:22:08.433128
True,True,True,False,False,True,True,7,1,2,-13,False,2023-12-16 16:22:23.475045
True,True,True,True,False,True,True,4,0,0,4,True,2023-12-16 16:22:38.523035
False,False,False,False,False,False,False,0,6,17,-68,False,2023-12-16 16:22:53.561625
True,False,False,False,False,False,False,1,5,12,-49,False,2023-12-16 16:23:08.609901
True,False,False,True,False,False,False,4,4,10,-42,False,2023-12-16 16:23:23.651183
False,False,False,True,False,False,False,1,6,17,-69,False,2023-12-16 16:23:38.705365
False,False,False,True,False,True,False,6,3,11,-46,False,2023-12-16 16:23:53.748119
False,True,False,True,False,True,False,2,2,6,-27,False,2023-12-16 16:24:08.789389
False,True,False,False,False,True,False,4,3,8,-34,False,2023-12-16 16:24:23.834535
True,True,False,False,False,True,False,1,2,3,-15,False,2023-12-16 16:24:38.879138
True,True,False,False,True,True,False,5,1,2,-12,False,2023-12-16 16:24:53.915083
True,True,False,True,True,True,False,4,0,0,5,True,2023-12-16 16:25:08.953266
False,False,False,False,False,False,False,0,7,19,-76,False,2023-12-16 16:25:23.995372
True,False,False,False,False,False,False,1,5,12,-49,False,2023-12-16 16:25:39.039368
True,False,False,False,False,False,False,0,5,12,-49,False,2023-12-16 16:25:54.089298
True,False,False,False,False,True,False,6,4,10,-42,False,2023-12-16 16:26:09.138714
True,False,False,False,False,True,False,0,3,8,-34,False,2023-12-16 16:26:24.186634
True,False,False,False,False,True,True,7,3,8,-35,False,2023-12-16 16:26:39.230975
True,True,False,False,False,True,True,2,2,3,-16,False,2023-12-16 16:26:54.285440
True,True,False,False,False,True,False,7,2,3,-15,False,2023-12-16 16:27:09.323178
True,True,False,True,False,True,False,4,1,1,-8,False,2023-12-16 16:27:24.375994
True,True,False,True,True,True,False,5,0,0,5,True,2023-12-16 16:27:39.433453
False,False,False,False,False,False,False,0,7,19,-76,False,2023-12-16 16:27:54.474612
True,False,False,False,False,False,False,1,6,14,-57,False,2023-12-16 16:28:09.517175
True,True,False,False,False,False,False,2,4,7,-30,False,2023-12-16 16:28:24.559481
True,True,True,False,False,False,False,3,3,6,-27,False,2023-12-16 16:28:39.605249
True,True,True,False,False,False,True,7,1,2,-12,False,2023-12-16 16:28:54.647497
True,True,True,False,False,False,False,7,3,6,-27,False,2023-12-16 16:29:09.699284
True,True,True,True,False,False,False,4,2,4,-20,False,2023-12-16 16:29:24.742082
True,True,True,True,False,False,False,0,2,4,-20,False,2023-12-16 16:29:39.787445
True,True,True,True,False,True,False,6,0,0,5,True,2023-12-16 16:29:54.826991
False,False,False,False,False,False,False,0,5,15,-60,False,2023-12-16 16:30:09.862382
True,False,False,False,False,False,False,1,6,14,-57,False,2023-12-16 16:30:24.905248
True,False,False,False,True,False,False,5,5,13,-54,False,2023-12-16 16:30:39.948070
True,False,False,False,True,True,False,6,3,9,-39,False,2023-12-16 16:30:54.990372
True,False,True,False,True,True,False,3,2,7,-32,False,2023-12-16 16:31:10.039512
True,False,True,True,True,True,False,4,1,5,-25,False,2023-12-16 16:31:25.083091
True,False,True,True,True,True,False,0,1,5,-25,False,2023-12-16 16:31:40.119824
True,False,True,True,False,True,False,5,1,5,-24,False,2023-12-16 16:31:55.170071
True,False,True,True,False,True,False,0,1,5,-24,False,2023-12-16 16:32:10.213109
True,False,True,True,True,True,False,5,1,5,-25,False,2023-12-16 16:32:25.253302
True,False,True,True,True,True,True,7,1,5,-26,False,2023-12-16 16:32:40.297173
True,False,True,True,True,True,False,7,1,5,-25,False,2023-12-16 16:32:55.342511
True,False,True,True,True,False,False,6,3,9,-40,False,2023-12-16 16:33:10.382374
True,False,True,True,True,False,False,0,3,9,-40,False,2023-12-16 16:33:25.431041
True,False,True,True,True,False,True,7,1,5,-25,False,2023-12-16 16:33:40.469168
True,True,True,True,True,False,True,2,0,0,4,True,2023-12-16 16:33:55.513348
False,False,False,False,False,False,False,0,7,19,-76,False,2023-12-16 16:34:10.556128
True,False,False,False,False,False,False,1,5,12,-49,False,2023-12-16 16:34:25.605988
True,False,False,False,False,False,True,7,3,8,-34,False,2023-12-16 16:34:40.651486
True,False,False,False,True,False,True,5,2,7,-31,False,2023-12-16 16:34:55.689298
False,False,False,False,True,False,True,1,3,12,-50,False,2023-12-16 16:35:10.733315
False,True,False,False,True,False,True,2,2,7,-31,False,2023-12-16 16:35:25.780459
False,True,False,False,False,False,True,5,3,8,-34,False,2023-12-16 16:35:40.822484
True,True,False,False,False,False,True,1,2,3,-15,False,2023-12-16 16:35:55.869339
True,True,False,True,False,False,True,4,1,1,-8,False,2023-12-16 16:36:10.914979
True,True,False,True,False,True,True,6,1,1,-9,False,2023-12-16 16:36:25.959440
True,True,False,True,True,True,True,5,0,0,4,True,2023-12-16 16:36:41.001794
False,False,False,False,False,False,False,0,7,19,-76,False,2023-12-16 16:36:56.059292
True,False,False,False,False,False,False,1,6,14,-57,False,2023-12-16 16:37:11.107167
True,False,False,False,False,True,False,6,3,8,-34,False,2023-12-16 16:37:26.148184
True,True,False,False,False,True,False,2,2,3,-15,False,2023-12-16 16:37:41.201274
True,True,True,False,False,True,False,3,1,2,-12,False,2023-12-16 16:37:56.238441
True,True,True,True,False,True,False,4,0,0,5,True,2023-12-16 16:38:11.275322
False,False,False,False,False,False,False,0,7,19,-76,False,2023-12-16 16:38:26.314599
True,False,False,False,False,False,False,1,5,12,-49,False,2023-12-16 16:38:41.358475
True,False,False,True,False,False,False,4,4,10,-42,False,2023-12-16 16:38:56.402742
True,False,False,True,False,False,False,0,4,10,-42,False,2023-12-16 16:39:11.447110
True,True,False,True,False,False,False,2,2,3,-15,False,2023-12-16 16:39:26.482838
False,True,False,True,False,False,False,1,4,10,-42,False,2023-12-16 16:39:41.531461
False,True,False,True,True,False,False,5,3,9,-39,False,2023-12-16 16:39:56.575507
False,True,True,True,True,False,False,3,3,9,-40,False,2023-12-16 16:40:11.619088
True,True,True,True,True,False,False,1,1,2,-13,False,2023-12-16 16:40:26.671176
True,True,True,False,True,False,False,4,2,4,-20,False,2023-12-16 16:40:41.713471
True,True,True,False,True,True,False,6,1,2,-13,False,2023-12-16 16:40:56.750129
True,True,True,True,True,True,False,4,0,0,4,True,2023-12-16 16:41:11.800324
False,False,False,False,False,False,False,0,7,19,-76,False,2023-12-16 16:41:26.843039
True,False,False,False,False,False,False,1,5,12,-49,False,2023-12-16 16:41:41.897613
False,False,False,False,False,False,False,1,7,19,-76,False,2023-12-16 16:41:56.938674
True,False,False,False,False,False,False,1,6,14,-57,False,2023-12-16 16:42:11.990839
True,True,False,False,False,False,False,2,5,9,-38,False,2023-12-16 16:42:27.030972
True,True,False,False,False,False,False,0,5,9,-38,False,2023-12-16 16:42:42.077882
True,True,False,False,False,True,False,6,2,3,-15,False,2023-12-16 16:42:57.129298
True,True,False,False,False,True,False,0,2,3,-15,False,2023-12-16 16:43:12.173287
True,True,False,False,False,True,True,7,2,3,-16,False,2023-12-16 16:43:27.214313
True,True,False,False,False,True,True,0,2,3,-16,False,2023-12-16 16:43:42.255168
True,True,False,True,False,True,True,4,1,1,-9,False,2023-12-16 16:43:57.297240
True,True,False,False,False,True,True,4,2,3,-16,False,2023-12-16 16:44:12.342031
True,True,False,True,False,True,True,4,1,1,-9,False,2023-12-16 16:44:27.393282
True,True,False,True,True,True,True,5,0,0,4,True,2023-12-16 16:44:42.437313
False,False,False,False,False,False,False,0,7,19,-76,False,2023-12-16 16:44:57.472841
True,False,False,False,False,False,False,1,5,12,-49,False,2023-12-16 16:45:12.515915
True,False,True,False,False,False,False,3,5,12,-50,False,2023-12-16 16:45:27.559253
True,False,True,False,False,True,False,6,3,8,-35,False,2023-12-16 16:45:42.599036
True,True,True,False,False,True,False,2,2,3,-16,False,2023-12-16 16:45:57.642095
True,True,True,True,False,True,False,4,1,1,-9,False,2023-12-16 16:46:12.687390
True,False,True,True,False,True,False,2,2,6,-28,False,2023-12-16 16:46:27.745335
True,False,True,True,False,False,False,6,4,10,-43,False,2023-12-16 16:46:42.784693
True,False,False,True,False,False,False,3,4,10,-42,False,2023-12-16 16:46:57.830771
True,True,False,True,False,False,False,2,2,3,-15,False,2023-12-16 16:47:12.880233
True,True,False,True,False,False,True,7,1,1,-8,False,2023-12-16 16:47:27.918057
True,True,False,True,False,True,True,6,1,1,-9,False,2023-12-16 16:47:42.962388
True,True,False,True,True,True,True,5,0,0,4,True,2023-12-16 16:47:58.014873
False,False,False,False,False,False,False,0,5,15,-60,False,2023-12-16 16:48:13.059402
True,False,False,False,False,False,False,1,5,12,-49,False,2023-12-16 16:48:28.113100
True,False,False,False,False,False,True,7,3,8,-34,False,2023-12-16 16:48:43.153105
True,False,False,False,False,False,True,0,3,8,-34,False,2023-12-16 16:48:58.205138
True,False,False,False,False,True,True,6,3,8,-35,False,2023-12-16 16:49:13.251490
True,False,False,False,False,False,True,6,3,8,-34,False,2023-12-16 16:49:28.295088
True,False,True,False,False,False,True,3,3,8,-35,False,2023-12-16 16:49:43.367829
False,False,True,False,False,False,True,1,3,12,-50,False,2023-12-16 16:49:58.415749
False,True,True,False,False,False,True,2,2,7,-31,False,2023-12-16 16:50:13.461996
False,True,True,False,False,False,True,0,2,7,-31,False,2023-12-16 16:50:28.505270
False,True,True,False,True,False,True,5,2,7,-32,False,2023-12-16 16:50:43.547017
False,False,True,False,True,False,True,2,3,12,-51,False,2023-12-16 16:50:58.591551
False,False,True,False,True,True,True,6,3,12,-52,False,2023-12-16 16:51:13.637272
False,False,True,True,True,True,True,4,2,10,-45,False,2023-12-16 16:51:28.676530
False,False,True,True,True,True,True,0,2,10,-45,False,2023-12-16 16:51:43.719347
False,True,True,True,True,True,True,2,1,5,-26,False,2023-12-16 16:51:58.762068
False,True,True,True,True,True,False,7,1,5,-25,False,2023-12-16 16:52:13.824624
False,False,True,True,True,True,False,2,2,10,-44,False,2023-12-16 16:52:28.867391
False,False,True,True,True,True,True,7,2,10,-45,False,2023-12-16 16:52:43.903091
False,False,False,True,True,True,True,3,2,10,-44,False,2023-12-16 16:52:58.954710
False,False,True,True,True,True,True,3,2,10,-45,False,2023-12-16 16:53:13.991005
False,False,True,False,True,True,True,4,3,12,-52,False,2023-12-16 16:53:29.049354
False,True,True,False,True,True,True,2,2,7,-33,False,2023-12-16 16:53:44.089247
True,True,True,False,True,True,True,1,1,2,-14,False,2023-12-16 16:53:59.132417
False,True,True,False,True,True,True,1,2,7,-33,False,2023-12-16 16:54:14.174374
False,True,True,True,True,True,True,4,1,5,-26,False,2023-12-16 16:54:29.217357
False,True,True,True,False,True,True,5,1,5,-25,False,2023-12-16 16:54:44.263243
True,True,True,True,False,True,True,1,1,1,-10,False,2023-12-16 16:54:59.307467
True,True,True,True,True,True,True,5,0,0,3,False,2023-12-16 16:55:14.347932
True,True,False,True,True,True,True,3,0,0,4,True,2023-12-16 16:55:29.385765
False,False,False,False,False,True,False,6,4,13,-53,False,2023-12-16 16:55:44.441491
True,False,False,False,False,True,False,1,3,8,-34,False,2023-12-16 16:55:59.487422
True,True,False,False,False,True,False,2,2,3,-15,False,2023-12-16 16:56:14.533420
True,True,False,True,False,True,False,4,1,1,-8,False,2023-12-16 16:56:29.590859
True,True,False,True,True,True,False,5,0,0,5,True,2023-12-16 16:56:44.653405
False,False,False,False,False,False,False,0,7,19,-76,False,2023-12-16 16:56:59.697349
True,False,False,False,False,False,False,1,5,12,-49,False,2023-12-16 16:57:14.738307
True,False,False,True,False,False,False,4,4,10,-42,False,2023-12-16 16:57:29.778517
True,False,False,True,False,True,False,6,2,6,-27,False,2023-12-16 16:57:44.815299
True,True,False,True,False,True,False,2,1,1,-8,False,2023-12-16 16:57:59.851104
True,True,False,True,False,False,False,6,1,1,-7,False,2023-12-16 16:58:14.890974
True,True,False,True,False,False,True,7,1,1,-8,False,2023-12-16 16:58:29.937305
True,True,False,True,False,True,True,6,1,1,-9,False,2023-12-16 16:58:44.985095
True,True,False,True,True,True,True,5,0,0,4,True,2023-12-16 16:59:00.059050
False,False,False,False,False,False,False,0,6,17,-68,False,2023-12-16 16:59:15.105265
False,False,False,False,False,False,True,7,4,13,-53,False,2023-12-16 16:59:30.146175
False,False,False,False,False,False,False,7,7,19,-76,False,2023-12-16 16:59:45.187576
True,False,False,False,False,False,False,1,4,10,-41,False,2023-12-16 17:00:00.230331
True,True,False,False,False,False,False,2,4,7,-30,False,2023-12-16 17:00:15.268809
True,True,False,False,False,False,True,7,2,3,-15,False,2023-12-16 17:00:30.308050
True,True,False,True,False,False,True,4,1,1,-8,False,2023-12-16 17:00:45.353390
True,True,False,True,False,True,True,6,1,1,-9,False,2023-12-16 17:01:00.420843
True,True,False,True,True,True,True,5,0,0,4,True,2023-12-16 17:01:15.464024
False,False,False,False,False,False,False,0,7,19,-76,False,2023-12-16 17:01:30.508943
True,False,False,False,False,False,False,1,6,14,-57,False,2023-12-16 17:01:45.552471
True,False,False,False,False,False,True,7,3,8,-34,False,2023-12-16 17:02:00.595314
True,True,False,False,False,False,True,2,2,3,-15,False,2023-12-16 17:02:15.633122
True,True,False,True,False,False,True,4,1,1,-8,False,2023-12-16 17:02:30.675349
True,True,False,True,False,True,True,6,1,1,-9,False,2023-12-16 17:02:45.718729
True,True,False,True,True,True,True,5,0,0,4,True,2023-12-16 17:03:00.766966
False,False,False,False,False,False,False,0,5,15,-60,False,2023-12-16 17:03:15.815459
True,False,False,False,False,False,False,1,6,14,-57,False,2023-12-16 17:03:30.851212
True,False,False,False,False,True,False,6,3,8,-34,False,2023-12-16 17:03:45.901227
True,False,False,True,False,True,False,4,2,6,-27,False,2023-12-16 17:04:00.967471
True,True,False,True,False,True,False,2,1,1,-8,False,2023-12-16 17:04:16.029420
True,True,False,True,True,True,False,5,0,0,5,True,2023-12-16 17:04:31.091164
False,False,False,False,False,False,False,0,7,19,-76,False,2023-12-16 17:04:46.145498
True,False,False,False,False,False,False,1,6,14,-57,False,2023-12-16 17:05:01.197441
True,True,False,False,False,False,False,2,4,7,-30,False,2023-12-16 17:05:16.243941
True,True,False,True,False,False,False,4,3,5,-23,False,2023-12-16 17:05:31.290940
True,True,False,True,False,False,True,7,1,1,-8,False,2023-12-16 17:05:46.331859
